Date,Temp
1949.5000,-0.13
1949.5833,-0.13
1949.6667,-0.14
1949.7500,-0.06
1949.8333,-0.10
1949.9167,-0.18
1950.0000,-0.26
1950.0833,-0.27
1950.1667,-0.07
1950.2500,-0.21
1950.3333,-0.11
1950.4167,-0.05
1950.5000,-0.08
1950.5833,-0.16
1950.6667,-0.11
1950.7500,-0.20
1950.8333,-0.34
1950.9167,-0.21
1951.0000,-0.34
1951.0833,-0.41
1951.1667,-0.20
1951.2500,-0.14
1951.3333,0.00
1951.4167,-0.06
1951.5000,-0.01
1951.5833,0.06
1951.6667,0.05
1951.7500,0.08
1951.8333,-0.01
1951.9167,0.16
1952.0000,0.11
1952.0833,0.11
1952.1667,-0.08
1952.2500,0.04
1952.3333,-0.03
1952.4167,-0.03
1952.5000,0.04
1952.5833,0.05
1952.6667,0.07
1952.7500,0.00
1952.8333,-0.13
1952.9167,-0.02
1953.0000,0.07
1953.0833,0.15
1953.1667,0.11
1953.2500,0.19
1953.3333,0.11
1953.4167,0.12
1953.5000,0.01
1953.5833,0.05
1953.6667,0.04
1953.7500,0.08
1953.8333,-0.03
1953.9167,0.05
1954.0000,-0.24
1954.0833,-0.10
1954.1667,-0.15
1954.2500,-0.14
1954.3333,-0.20
1954.4167,-0.18
1954.5000,-0.19
1954.5833,-0.18
1954.6667,-0.10
1954.7500,-0.02
1954.8333,0.08
1954.9167,-0.18
1955.0000,0.13
1955.0833,-0.16
1955.1667,-0.32
1955.2500,-0.22
1955.3333,-0.20
1955.4167,-0.14
1955.5000,-0.11
1955.5833,0.02
1955.6667,-0.11
1955.7500,-0.05
1955.8333,-0.25
1955.9167,-0.28
1956.0000,-0.13
1956.0833,-0.24
1956.1667,-0.21
1956.2500,-0.28
1956.3333,-0.29
1956.4167,-0.15
1956.5000,-0.09
1956.5833,-0.26
1956.6667,-0.19
1956.7500,-0.23
1956.8333,-0.14
1956.9167,-0.06
1957.0000,-0.09
1957.0833,-0.03
1957.1667,-0.05
1957.2500,0.00
1957.3333,0.09
1957.4167,0.16
1957.5000,0.02
1957.5833,0.15
1957.6667,0.09
1957.7500,0.01
1957.8333,0.08
1957.9167,0.15
1958.0000,0.39
1958.0833,0.22
1958.1667,0.08
1958.2500,0.01
1958.3333,0.06
1958.4167,-0.08
1958.5000,0.05
1958.5833,-0.05
1958.6667,-0.02
1958.7500,0.04
1958.8333,0.02
1958.9167,0.01
1959.0000,0.08
1959.0833,0.07
1959.1667,0.18
1959.2500,0.16
1959.3333,0.04
1959.4167,0.03
1959.5000,0.03
1959.5833,-0.01
1959.6667,-0.06
1959.7500,-0.07
1959.8333,-0.08
1959.9167,0.00
1960.0000,0.00
1960.0833,0.13
1960.1667,-0.35
1960.2500,-0.15
1960.3333,-0.08
1960.4167,-0.04
1960.5000,-0.04
1960.5833,0.02
1960.6667,0.07
1960.7500,0.06
1960.8333,-0.11
1960.9167,0.19
1961.0000,0.07
1961.0833,0.19
1961.1667,0.09
1961.2500,0.13
1961.3333,0.12
1961.4167,0.11
1961.5000,0.01
1961.5833,0.01
1961.6667,0.09
1961.7500,0.00
1961.8333,0.03
1961.9167,-0.16
1962.0000,0.05
1962.0833,0.15
1962.1667,0.10
1962.2500,0.05
1962.3333,-0.06
1962.4167,0.03
1962.5000,0.02
1962.5833,-0.01
1962.6667,0.00
1962.7500,0.01
1962.8333,0.06
1962.9167,-0.03
1963.0000,-0.03
1963.0833,0.18
1963.1667,-0.14
1963.2500,-0.07
1963.3333,-0.06
1963.4167,0.05
1963.5000,0.06
1963.5833,0.23
1963.6667,0.18
1963.7500,0.15
1963.8333,0.15
1963.9167,-0.03
1964.0000,-0.09
1964.0833,-0.10
1964.1667,-0.21
1964.2500,-0.32
1964.3333,-0.25
1964.4167,-0.04
1964.5000,-0.04
1964.5833,-0.22
1964.6667,-0.29
1964.7500,-0.32
1964.8333,-0.21
1964.9167,-0.30
1965.0000,-0.08
1965.0833,-0.17
1965.1667,-0.13
1965.2500,-0.19
1965.3333,-0.12
1965.4167,-0.08
1965.5000,-0.13
1965.5833,-0.04
1965.6667,-0.15
1965.7500,-0.05
1965.8333,-0.06
1965.9167,-0.08
1966.0000,-0.19
1966.0833,-0.04
1966.1667,0.03
1966.2500,-0.13
1966.3333,-0.12
1966.4167,0.01
1966.5000,0.08
1966.5833,-0.09
1966.6667,-0.03
1966.7500,-0.17
1966.8333,-0.01
1966.9167,-0.03
1967.0000,-0.08
1967.0833,-0.21
1967.1667,0.05
1967.2500,-0.05
1967.3333,0.12
1967.4167,-0.08
1967.5000,0.02
1967.5833,0.01
1967.6667,-0.06
1967.7500,0.09
1967.8333,-0.05
1967.9167,-0.05
1968.0000,-0.26
1968.0833,-0.14
1968.1667,0.20
1968.2500,-0.06
1968.3333,-0.14
1968.4167,-0.09
1968.5000,-0.13
1968.5833,-0.09
1968.6667,-0.19
1968.7500,0.09
1968.8333,-0.05
1968.9167,-0.14
1969.0000,-0.11
1969.0833,-0.18
1969.1667,0.01
1969.2500,0.17
1969.3333,0.18
1969.4167,0.03
1969.5000,-0.04
1969.5833,0.04
1969.6667,0.08
1969.7500,0.09
1969.8333,0.12
1969.9167,0.24
1970.0000,0.08
1970.0833,0.22
1970.1667,0.06
1970.2500,0.05
1970.3333,-0.04
1970.4167,-0.03
1970.5000,0.01
1970.5833,-0.10
1970.6667,0.12
1970.7500,0.03
1970.8333,0.02
1970.9167,-0.12
1971.0000,-0.02
1971.0833,-0.15
1971.1667,-0.18
1971.2500,-0.07
1971.3333,-0.05
1971.4167,-0.16
1971.5000,-0.08
1971.5833,-0.01
1971.6667,-0.06
1971.7500,-0.04
1971.8333,-0.07
1971.9167,-0.08
1972.0000,-0.22
1972.0833,-0.18
1972.1667,0.02
1972.2500,0.00
1972.3333,-0.03
1972.4167,0.04
1972.5000,0.01
1972.5833,0.16
1972.6667,0.02
1972.7500,0.08
1972.8333,0.02
1972.9167,0.18
1973.0000,0.29
1973.0833,0.32
1973.1667,0.29
1973.2500,0.27
1973.3333,0.23
1973.4167,0.19
1973.5000,0.12
1973.5833,0.05
1973.6667,0.09
1973.7500,0.10
1973.8333,0.04
1973.9167,-0.07
1974.0000,-0.10
1974.0833,-0.27
1974.1667,-0.05
1974.2500,-0.12
1974.3333,-0.04
1974.4167,-0.05
1974.5000,-0.03
1974.5833,0.10
1974.6667,-0.08
1974.7500,-0.06
1974.8333,-0.08
1974.9167,-0.08
1975.0000,0.10
1975.0833,0.08
1975.1667,0.12
1975.2500,0.04
1975.3333,0.16
1975.4167,-0.01
1975.5000,-0.01
1975.5833,-0.17
1975.6667,-0.02
1975.7500,-0.11
1975.8333,-0.17
1975.9167,-0.17
1976.0000,-0.03
1976.0833,-0.06
1976.1667,-0.22
1976.2500,-0.07
1976.3333,-0.21
1976.4167,-0.12
1976.5000,-0.10
1976.5833,-0.12
1976.6667,-0.06
1976.7500,-0.24
1976.8333,-0.06
1976.9167,0.11
1977.0000,0.18
1977.0833,0.22
1977.1667,0.24
1977.2500,0.26
1977.3333,0.33
1977.4167,0.27
1977.5000,0.20
1977.5833,0.18
1977.6667,0.02
1977.7500,0.03
1977.8333,0.16
1977.9167,0.03
1978.0000,0.06
1978.0833,0.10
1978.1667,0.19
1978.2500,0.17
1978.3333,0.09
1978.4167,-0.01
1978.5000,0.04
1978.5833,-0.13
1978.6667,0.06
1978.7500,0.03
1978.8333,0.14
1978.9167,0.08
1979.0000,0.08
1979.0833,-0.10
1979.1667,0.19
1979.2500,0.15
1979.3333,0.04
1979.4167,0.14
1979.5000,0.04
1979.5833,0.17
1979.6667,0.25
1979.7500,0.26
1979.8333,0.28
1979.9167,0.48
1980.0000,0.30
1980.0833,0.39
1980.1667,0.30
1980.2500,0.30
1980.3333,0.35
1980.4167,0.20
1980.5000,0.22
1980.5833,0.19
1980.6667,0.21
1980.7500,0.13
1980.8333,0.30
1980.9167,0.22
1981.0000,0.53
1981.0833,0.42
1981.1667,0.48
1981.2500,0.32
1981.3333,0.24
1981.4167,0.29
1981.5000,0.32
1981.5833,0.35
1981.6667,0.15
1981.7500,0.12
1981.8333,0.23
1981.9167,0.41
1982.0000,0.05
1982.0833,0.15
1982.1667,0.03
1982.2500,0.15
1982.3333,0.18
1982.4167,0.05
1982.5000,0.15
1982.5833,0.04
1982.6667,0.14
1982.7500,0.13
1982.8333,0.18
1982.9167,0.43
1983.0000,0.53
1983.0833,0.43
1983.1667,0.42
1983.2500,0.27
1983.3333,0.34
1983.4167,0.22
1983.5000,0.18
1983.5833,0.36
1983.6667,0.37
1983.7500,0.17
1983.8333,0.30
1983.9167,0.16
1984.0000,0.31
1984.0833,0.14
1984.1667,0.26
